APPL_ID,DC_ID,CREATOR_ID,CREATED_DATE,LAST_UPD_ID,LAST_UPD_DATE,ALLOCATED_AMT,FUNDING_PHS_ORG_CODE,CAN
6920748,129,IMPACII8,2007-07-27 19:40:27.0,,,,,
6989329,129,IMPACII8,2007-07-27 19:40:27.0,,,,,
6904482,129,IMPACII8,2007-07-27 19:40:27.0,,,,,
6923654,129,IMPACII8,2007-07-27 19:40:27.0,,,,,
6877733,129,IMPACII8,2007-07-27 19:40:27.0,,,,,
6877177,129,IMPACII8,2007-07-27 19:40:27.0,,,,,
6927011,129,IMPACII8,2007-07-27 19:40:27.0,,,,,
6993809,129,IMPACII8,2007-07-27 19:40:27.0,,,,,
6912317,129,IMPACII8,2007-07-27 19:40:27.0,,,,,
6884842,129,IMPACII8,2007-07-27 19:40:27.0,,,,,
6906565,129,IMPACII8,2007-07-27 19:40:27.0,,,,,
6896167,129,IMPACII8,2007-07-27 19:40:27.0,,,,,
6915151,129,IMPACII8,2007-07-27 19:40:27.0,,,,,
6845164,129,IMPACII8,2007-07-27 19:40:27.0,,,,,
6920602,129,IMPACII8,2007-07-27 19:40:27.0,,,,,
6929028,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
7121691,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
7117908,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6911052,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6988915,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6898882,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6935271,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6961499,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
7028503,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6859452,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6879232,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6949609,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6831714,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6889634,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6886595,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6950779,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6961326,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6948496,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6932101,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6824904,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6894562,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6903393,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6969124,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6869340,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6899830,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6920697,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6895534,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6883967,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6946948,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6897800,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6949067,129,IMPACII8,2007-07-27 19:40:28.0,,,,,
6860058,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6918168,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6953126,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6989609,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6985953,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6882065,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6913574,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6853577,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6960306,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6890300,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6872553,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6899833,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6940656,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6893298,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6924845,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6892415,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6878950,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6951804,1,IMPACII8,2007-07-27 19:41:46.0,,,,,
6946998,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6920802,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6883149,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6970475,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6877951,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6984642,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6945887,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6926370,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
7019544,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6891038,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6871679,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6952519,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6988392,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
7121689,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6957295,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6936253,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6870311,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6995137,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6955253,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6918553,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6911520,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6909014,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6924861,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
7001916,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6889471,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6921387,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6930373,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6896548,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6861799,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6922356,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6865022,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6892917,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6896446,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6924830,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6960190,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6942724,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6910030,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6943983,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6831597,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6872733,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6866164,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6851799,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6993007,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6864901,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6867874,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6949716,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6957372,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6849513,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6894224,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6953489,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6934013,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6987997,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6895911,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6890987,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6879989,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
7118481,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6903287,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6951625,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6884860,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6837720,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6949223,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6930430,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6932960,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6891878,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6944710,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6981996,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6934011,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6944402,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6988987,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6870229,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6884060,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6895769,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6936907,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6944952,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6943641,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
7117034,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6918528,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6954831,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6888501,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6936043,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6916198,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6818768,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6947803,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6887670,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6889480,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6871488,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6947941,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6933191,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6889647,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
7136495,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6891620,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6962198,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6910890,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6902623,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6903662,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6895955,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6926103,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6872147,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6843166,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6826243,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
7009428,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6942881,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6999389,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6945426,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6937131,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6901045,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6918802,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6865823,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6898004,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6937887,1,IMPACII8,2007-07-27 19:41:47.0,,,,,
6895098,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6947686,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6942384,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6843752,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6849936,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6896209,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6827858,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6912452,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6918101,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6913522,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6888125,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6943875,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6994569,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6920937,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6919977,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6967086,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6949128,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6951604,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6933886,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6917251,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6910809,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
7082734,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6881418,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6902721,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6918391,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6914895,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6830755,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6865069,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6872959,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6889299,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6866946,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
7006225,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6926309,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6870338,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6871309,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6958657,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6902539,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6884597,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6963180,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6866091,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
7125881,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
7024905,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6831178,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6927463,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
7106781,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6931954,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
7064125,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6882085,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6830265,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6952831,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
7058185,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6927367,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6948784,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6919037,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6951951,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6968214,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6953602,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6933915,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6839991,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6891362,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6909806,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6844777,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6826815,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
7119866,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
7046278,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
7106585,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6935851,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6905897,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6870252,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6906501,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
7006016,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6838692,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6868785,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6951490,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6918735,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6844619,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6915234,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6918639,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
7060550,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6959962,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6877117,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6933045,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6830188,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6887024,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6922938,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
6907498,1,IMPACII8,2007-07-27 19:41:48.0,,,,,
